"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3439","Login with multiple users (example #1)","","2026-01-05","passed","2026-01-05","","User Login","User Login","Login with multiple users (example #1)"
"","10262","Login with multiple users (example #2)","","2026-01-05","broken","2026-01-05","","User Login","User Login","Login with multiple users (example #2)"
